,level,is_unique,is_playable
0,"########
###--###
###@-###
###--###
###-####
#----*-#
#--$---#
#####.-#
########",False,"[{'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}]"
1,"######
####--#
####@-#
####$.#
#---$.#
#-#-$.#
#----##
#######",True,False
2,"#########
#----####
#.$$.-###
#-.$$.-##
##-.$$.-#
###-.$$.#
####-@--#
#########",False,"[{'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}]"
3,"#######
###--##
##@$.##
#-$$--#
#-.-.-#
###---#
#######",False,"[{'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}]"
4,"#########
#---#####
#--.#--##
##-..--##
##-##-@-#
##-#------#
##-$-#####
##-$######
##-$######
##-$-#####
##--######
#########",True,False
5,"###########
#-@-....-##
#---####$##
##-#--$-$-#
##-$------#
##---######
###########",False,"[{'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}]"
6,"########
##.-.-##
##--*.##
###$-@-#
#-$--$-#
#---####
########",False,"[{'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}]"
7,"##########
#-----####
#-$$$.-###
##-#-.--##
###-#-#@-#
###--.-#-#
####--.-#
#####-#-#
#####----#
##########",True,False
8,"#######
##--###
##-$$-#
##...-#
#--@$-#
#---###
#######",False,"[{'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}]"
9,"###########
#######.--#
#######.#-#
#######.#-#
#-@-$-$-$-#
#-#-#-#-###
#-------###
###########",False,"[{'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}]"
